a52dec 0.7.4-9
aalib 1.4rc5-12
accountsservice 0.6.45-1
ack 2.18-1
acl 2.2.52-3
acpi 1.7-1
acpi_call 1.1.0-61
adobe-source-code-pro-fonts 2.030ro+1.050it-3
adwaita-icon-theme 3.24.0-1
aic94xx-firmware 30-9
aircrack-ng 1.2rc4-4
aisleriot 3.22.2-1
alsa-lib 1.1.4-1
alsa-oss 1.0.28-1
alsa-plugins 1.1.4-1
alsa-utils 1.1.4-1
alsaplayer 0.99.81-8
ansible 2.3.0.0-5
anthy 9100h-4
apr 1.5.2-2
apr-util 1.5.4-3
arc-gtk-theme 20170302-1
archlinux-keyring 20170320-1
argyllcms 1.9.2-1
arpack 3.4.0-1
asciinema 1.4.0-1
aspell 0.60.6.1-5
at-spi2-atk 2.24.1-1
at-spi2-core 2.24.1-1
atftp 0.7.1-2
atk 2.24.0-2
atkmm 2.24.2+1+gf30b47f-2
atop 2.3.0-1
attica-qt4 0.4.2-3
attica-qt5 5.34.0-1
attr 2.4.47-2
augeas 1.8.0-1
autoconf 2.69-4
autoenv 0.2.1-1
automake 1.15-2
avahi 0.6.32-3
avr-binutils 2.28-1
avr-gcc 7.1.0-1
avr-libc 2.0.0-1
avrdude 1:6.3-2
b43-fwcutter 019-1
babl 0.1.24-1
bamf 0.5.3-1
baobab 3.24.0+1+g202d168-1
bash 4.4.012-2
bash-completion 2.5-1
bazel 0.4.5-1
bc 1.07.1-1
bin86 0.16.21-1
bind-tools 9.11.1-1
binutils 2.28.0-2
bison 3.0.4-2
blas 3.7.0-1
blueberry 1.1.10-2
bluez 5.45-1
bluez-firmware 1.2-8
bluez-libs 5.45-1
bluez-tools 0.2.0-1
bluez-utils 5.45-1
boost 1.63.0-2
boost-libs 1.63.0-2
boostnote 0.8.7-3
brasero 3.12.1-2
bridge-utils 1.6-1
brltty 5.5-2
brother-hl2170w 2.0.2_1-1
btrfs-progs 4.10.2-1
bubblewrap 0.1.8-1
bzip2 1.0.6-6
bzr 2.7.0-2
c-ares 1.12.0-1
ca-certificates 20170307-1
ca-certificates-cacert 20140824-4
ca-certificates-mozilla 3.30.2-1
ca-certificates-utils 20170307-1
cairo-infinality-ultimate 1.14.4-1
